,booktype,Title,Author
2775,言情,長安銅雀鳴（長樂曲）,鳳凰棲
3481,言情,不做朋友,墨白琅
4353,言情,夫人她天天都想離婚/霍總，養妻已成癮,蘇子歡
3487,言情,滿級影帝穿成娛樂圈炮灰後,祀一
4357,言情,錦衣之下／姐兒求嫁,藍色獅／遇見貓
4359,言情,竹馬鑲青梅,北傾
4360,言情,情人（春色寄情人）,舍目斯
3486,言情,旅行琴蛙,流初
4364,言情,拾光裡的我們,隨侯珠
3482,言情,任務失敗後渣A跑路了,青月燈
4367,言情,衡門之下,天如玉
4368,言情,嬌貴命,未降
4369,言情,獨欺滿月(限),古潤
4371,言情,媳婦兒，我在你隔壁,邱梓韞
4374,言情,摯野,丁墨
4301,言情,打火機與公主裙·長明燈 (點燃我，溫暖你),twentine
4376,言情,宮女退休日記,赫連菲菲
3478,言情,救贖,歲欲
4378,言情,謝謝你，敢與我相愛,瘋子三三
4380,言情,冬至,凝隴
4381,言情,家有男神,佳麗三千／惜禾
3477,言情,命不久矣後我成了萬人迷,夕月半
4384,言情,婚婚欲睡,甜糯
4386,言情,才不要和老闆談戀愛,葉斐然
3476,言情,穿成戀綜對照組的真千金後,蔓清越
4388,言情,十分滿分的甜,執葱一根
4390,言情,朝露終相逢,儋耳蠻花
4391,言情,老公大人請息怒！,爺爺爺爺爺
4352,言情,給前任他叔沖喜,綠藥
4351,言情,吾家嬌妻,抹茶曲奇
4349,言情,人面桃花笑春風,自溪
4347,言情,百日契約：征服億萬總裁,夜神翼
4303,言情,致命解藥/豪門小媳婦我不當了_時玖遠,時玖遠
3496,言情,渣A風流,夢寐狐
4306,言情,每晚都有特殊要求,漫無踪影
4307,言情,你的諾言，我的滄海／軍婚的秘密,蘇格蘭折耳貓
4309,言情,一戰成婚：厲少，要抱抱,螢光紫
4311,言情,小溫暖,甜糯
3495,言情,她的十年,祈久
4313,言情,嗨，周醫生,50度幽藍
4315,言情,我的世界只有他,蔣牧童
4317,言情,呆萌小獸妃：九皇叔，別亂來,煙青青
3494,言情,裝乖可恥,紅口白牙
4321,言情,老祖宗她是真的狂,燕小陌
4325,言情,演技派,千帆過盡
4327,言情,表妹慫且甜,許乘月
4332,言情,危宮驚夢,狂上加狂
4333,言情,懷上反派他爹的孩子,甜即正義
4335,言情,蜜桃色巧合,老衲吃素
3491,言情,獨寵俏夫,小名金露
3489,言情,我養了一星球的萌團子,寂也
3488,言情,向導要聽劇本的話,不間不界
4341,言情,何處暖陽不傾城,北傾
4342,言情,嫁給喬醫生,我是落落
4343,言情,校花的貼身高手,魚人二代
4345,言情,我女朋友也太甜了吧,小央
4346,言情,衾何以堪／瞎子，原來我很愛你,木浮生
3474,言情,我靠千億物資嬌養戰神殘王,聽禪
3473,言情,廢A有崽後改過自新了,無時不宜秋
4396,言情,嘖，她竟然,離邊
4442,言情,軍少梟寵：嬌妻兇猛，惹不起！,孤木雙
4446,言情,和你在一起才是全世界,大檸
4448,言情,嬌公主與莽駙馬,開花不結果
4449,言情,副總裁的千萬孕母(限)（大老闆特集3）,桂小雯
4450,言情,繁華盡謝,浮雕
3468,言情,[洪荒]滿船清夢壓星河,謝初之
4454,言情,醫妃驚世,顧染錦
3467,言情,染指珍珠,旅者的鬥篷
3465,言情,昭仙辭,盛唐無夜
3464,言情,快穿界不相信眼淚,傾虞白
3463,言情,穿書後我開了個小飯館,雪橘
3462,言情,我和渣攻的白月光he了,可愛鴨
4462,言情,我眷戀這世界,喻言時
4465,言情,最美遇見你,顧西爵
4468,言情,帝凰之神醫棄妃,阿彩
4469,言情,你要一直保護我,安之若眠
4470,言情,寵妻日常,九月輕歌
3460,言情,兔兔要當大劍仙,杯影藏身
4474,言情,童養婿,許乘月
4476,言情,汀南絲雨,狄戈
4478,言情,嬌妻在上：易少，求輕寵！,墨子悠
4479,言情,總裁情人（青梅竹馬之四）,庭妍
3458,言情,沾青,扁平竹
4480,言情,此致，愛情／你好，中校先生,蘇格蘭折耳貓
4482,言情,阿禪,丁墨
3456,言情,獸世種田：反派崽崽超粘人,魔溟星
4444,言情,喜歡你的每一秒,鹿靈
4440,言情,你的溫柔比光暖／玩火,瘋子三三
4398,言情,雲鬟酥腰,鏡裡片
4439,言情,情欲合約(限)（誤入成人區1）,桂小雯
4400,言情,我就是這般女子,月下蝶影
4401,言情,朕的愛妃太能卷了,江山雀
4402,言情,老婆，我疼妳(限)（親愛的2）,庭妍
4405,言情,別看了，秀恩愛的,四日寸
4406,言情,穿越獸世：綁定生子系統後逆襲了,青璿
3472,言情,我用夢境泡神君,笨蛋美女和花
3471,言情,打完架再打個啵,惡鬼不善
3470,言情,別想我,葉停雲
4411,言情,卿本嬌,撒嬌小狐狸
4413,言情,她的小梨渦,唧唧的貓
4415,言情,離婚夜，她偷偷懷上渣總的娃跑了,招財貓
4416,言情,錦屏春暖,欣欣向榮／桃妖
4417,言情,悍婚，首長饒了我吧,青曈
4419,言情,美人宜修（好想和你在一起）,北傾
4420,言情,嗜寵入骨,盛世清歌
4421,言情,容氏楚虞,荔枝很甜
4423,言情,獨家摯愛,墨子都
4426,言情,我就喜歡他那樣的,蔣牧童
4428,言情,然後是你,阿淳
4429,言情,我家二爺,Twentine
4430,言情,敗給你,風十一
4434,言情,當初就該抱住你,湛夏
4435,言情,早愛晚婚,夏末秋
4436,言情,謀家,林木兒
4438,言情,豪門隱婚：腹黑總裁專寵妻,夏青衫
3497,言情,大結巴,渡海不是醫生
4297,言情,我的新郎逃婚了,喝口雪
4116,言情,年代文的早死白月光,茶乂
